fiscal_year,total_tokens,unique_tokens,lexical_diversity,shannon_entropy,hedge_per_1k,nom_per_1k,document_type
FY1977,134220,2335,0.2335,9.02,9.8,65.4,Vol1+Vol2+Vol3
FY1978,120511,2254,0.2254,8.96,7.4,65.5,Vol1+Vol2
FY1979,168149,2245,0.2245,8.92,7.6,67.2,Vol1+Vol2+Vol3
FY1980,226453,2270,0.227,9.0,8.0,68.0,Vol1+Vol2+Vol3
FY1981,204921,2051,0.2051,8.56,6.7,53.4,Vol1+Vol2+Vol3
FY1982,183211,2317,0.2317,9.01,8.4,69.8,Amendment+Vol1+Vol2+Vol3
FY1983,143887,2210,0.221,8.9,8.7,70.2,Vol1+Vol2+Vol3
FY1984,142529,2247,0.2247,8.94,8.7,69.5,Vol1+Vol2+Vol3
FY1985,138228,2212,0.2212,8.89,8.2,72.6,Vol1+Vol2+Vol3
FY1986,139181,2247,0.2247,8.95,7.9,73.0,Vol1+Vol2+Vol3
FY1987,153992,2247,0.2247,8.95,9.1,72.6,Amendment+Vol1+Vol2+Vol3
FY1988,155332,2424,0.2424,9.07,8.2,71.1,Vol1+Vol2+Vol3
FY1989,111795,2367,0.2367,9.05,4.5,71.1,Vol1
FY1990,162905,2547,0.2547,9.14,9.5,68.4,Backup+Vol1
FY1991,138493,2432,0.2432,9.11,6.0,73.4,Vol1+Vol2
FY1992,154672,2210,0.221,8.91,4.4,73.9,Vol1
FY1993,146902,2284,0.2284,9.0,7.0,77.2,Vol1+Vol2+Vol3
FY1994,141457,2385,0.2385,9.04,7.7,72.3,General+Vol1+Vol2+Vol3
FY1995,91433,2358,0.2358,9.11,6.1,72.8,Vol1
FY1996,193910,2507,0.2507,9.21,6.3,71.9,Vol1+Vol2
FY1997,166095,2410,0.241,9.05,5.9,71.7,Vol1+Vol2
FY1998,184648,2388,0.2388,9.09,6.3,71.5,General
FY1999,195939,2443,0.2443,9.11,6.2,72.0,General
FY2000,10959,2206,0.2206,9.01,5.8,70.4,General
FY2001,239039,2465,0.2465,9.15,8.0,74.5,General
FY2002,273822,2444,0.2444,9.14,7.0,73.3,General
FY2003,208738,2492,0.2492,9.27,8.2,74.3,Request
FY2004,136087,2333,0.2333,9.19,5.4,73.7,General+Request
FY2005,122956,2317,0.2317,9.2,4.9,72.7,Request
FY2006,98448,2285,0.2285,9.12,6.0,75.1,General
FY2007,112019,2289,0.2289,9.1,7.1,77.0,General
FY2008,127256,2301,0.2301,9.13,6.0,75.3,General
FY2009,170487,2372,0.2372,9.19,8.4,74.1,General
FY2010,126539,2432,0.2432,9.23,6.3,75.4,General
FY2011,117833,2411,0.2411,9.18,6.6,75.3,Request
FY2012,171174,2966,0.2966,9.74,4.5,46.4,Request
FY2013,156043,2438,0.2438,9.24,7.0,73.6,Request
FY2014,151209,2500,0.25,9.28,6.3,75.2,Request
FY2015,177566,2554,0.2554,9.33,7.4,76.2,Request
FY2016,170847,2540,0.254,9.31,6.7,71.4,Request
FY2017,189179,2531,0.2531,9.31,7.0,70.0,Request
FY2018,198771,2603,0.2603,9.37,6.5,68.7,Request
FY2019,212089,2557,0.2557,9.34,6.6,69.7,Request
FY2020,221305,2533,0.2533,9.36,7.5,68.4,Amendment+Request
FY2021,227146,2501,0.2501,9.29,7.3,68.7,Request
FY2022,263911,2541,0.2541,9.37,6.9,71.3,Request
FY2023,279566,2586,0.2586,9.35,6.4,70.2,Request
FY2024,265133,2609,0.2609,9.34,6.4,71.2,Request
FY2025,4420,975,0.2206,8.16,7.5,82.1,Request
FY2026,109440,2399,0.2399,9.18,5.5,73.1,Request
